Field,Variable,Percentage,Gender,Prop_Top,Representation
Mathematics,Productivity,0.14372160536882386,female,22,0.7466067682361023
Mathematics,Productivity,0.8562783946311762,male,22,1.0604063332484417
Mathematics,Productivity,0.14372160536882386,female,23,0.7466067682361023
Mathematics,Productivity,0.8562783946311762,male,23,1.0604063332484417
Mathematics,Productivity,0.14372160536882386,female,24,0.7466067682361023
Mathematics,Productivity,0.8562783946311762,male,24,1.0604063332484417
Mathematics,Productivity,0.14372160536882386,female,25,0.7466067682361023
Mathematics,Productivity,0.8562783946311762,male,25,1.0604063332484417
Mathematics,Productivity,0.14372160536882386,female,26,0.7466067682361023
Mathematics,Productivity,0.8562783946311762,male,26,1.0604063332484417
Mathematics,Productivity,0.14372160536882386,female,27,0.7466067682361023
Mathematics,Productivity,0.8562783946311762,male,27,1.0604063332484417
Mathematics,Productivity,0.14372160536882386,female,28,0.7466067682361023
Mathematics,Productivity,0.8562783946311762,male,28,1.0604063332484417
Mathematics,Productivity,0.14372160536882386,female,29,0.7466067682361023
Mathematics,Productivity,0.8562783946311762,male,29,1.0604063332484417
Mathematics,Productivity,0.14372160536882386,female,30,0.7466067682361023
Mathematics,Productivity,0.8562783946311762,male,30,1.0604063332484417
Mathematics,Productivity,0.14372160536882386,female,31,0.7466067682361023
Mathematics,Productivity,0.8562783946311762,male,31,1.0604063332484417
Mathematics,Productivity,0.14372160536882386,female,32,0.7466067682361023
Mathematics,Productivity,0.8562783946311762,male,32,1.0604063332484417
Mathematics,Productivity,0.14372160536882386,female,33,0.7466067682361023
Mathematics,Productivity,0.8562783946311762,male,33,1.0604063332484417
Mathematics,Productivity,0.14372160536882386,female,34,0.7466067682361023
Mathematics,Productivity,0.8562783946311762,male,34,1.0604063332484417
Mathematics,Productivity,0.1932928581071024,female,35,1.0041201233740726
Mathematics,Productivity,0.8067071418928976,male,35,0.9990178050777977
Mathematics,Productivity,0.1932928581071024,female,36,1.0041201233740726
Mathematics,Productivity,0.8067071418928976,male,36,0.9990178050777977
Mathematics,Productivity,0.1932928581071024,female,37,1.0041201233740726
Mathematics,Productivity,0.8067071418928976,male,37,0.9990178050777977
Mathematics,Productivity,0.1932928581071024,female,38,1.0041201233740726
Mathematics,Productivity,0.8067071418928976,male,38,0.9990178050777977
Mathematics,Productivity,0.1932928581071024,female,39,1.0041201233740726
Mathematics,Productivity,0.8067071418928976,male,39,0.9990178050777977
Mathematics,Productivity,0.1932928581071024,female,40,1.0041201233740726
Mathematics,Productivity,0.8067071418928976,male,40,0.9990178050777977
Mathematics,Productivity,0.1932928581071024,female,41,1.0041201233740726
Mathematics,Productivity,0.8067071418928976,male,41,0.9990178050777977
Mathematics,Productivity,0.1932928581071024,female,42,1.0041201233740726
Mathematics,Productivity,0.8067071418928976,male,42,0.9990178050777977
Mathematics,Productivity,0.1932928581071024,female,43,1.0041201233740726
Mathematics,Productivity,0.8067071418928976,male,43,0.9990178050777977
Mathematics,Productivity,0.1932928581071024,female,44,1.0041201233740726
Mathematics,Productivity,0.8067071418928976,male,44,0.9990178050777977
Mathematics,Productivity,0.1932928581071024,female,45,1.0041201233740726
